LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000190,Barnet ,715,86.0,70.0,124.0,209.0,23.0,10.0,6.0,6.0,98.0,83.0,6430.2,12.0
E01000191,Barnet ,710,70.0,69.0,131.0,242.0,21.0,3.0,8.0,7.0,101.0,58.0,6800.2,12.3
E01000192,Barnet ,861,102.0,83.0,125.0,257.0,32.0,11.0,3.0,6.0,135.0,107.0,7087.8,11.5
E01000193,Barnet ,812,106.0,85.0,147.0,225.0,21.0,6.0,7.0,9.0,111.0,95.0,7235.6,11.9
E01000194,Barnet ,819,106.0,101.0,141.0,204.0,31.0,10.0,5.0,11.0,83.0,127.0,6975.1,11.5
E01000195,Barnet ,734,72.0,101.0,127.0,221.0,31.0,5.0,5.0,8.0,63.0,101.0,7117.7,12.5
E01000196,Barnet ,1030,89.0,109.0,233.0,291.0,18.0,18.0,3.0,17.0,121.0,131.0,8823.8,11.3
E01000197,Barnet ,1032,87.0,119.0,249.0,299.0,22.0,2.0,5.0,6.0,115.0,128.0,7881.4,10.0
E01000198,Barnet ,906,70.0,129.0,163.0,240.0,17.0,8.0,8.0,12.0,135.0,124.0,7793.5,12.0
E01000199,Barnet ,747,50.0,88.0,120.0,233.0,15.0,3.0,7.0,7.0,160.0,64.0,5986.9,11.4
E01000200,Barnet ,847,66.0,97.0,169.0,252.0,16.0,4.0,9.0,10.0,151.0,73.0,7133.5,11.5
E01000201,Barnet ,727,78.0,78.0,163.0,179.0,8.0,4.0,6.0,1.0,172.0,38.0,4745.2,9.2
E01000202,Barnet ,890,75.0,96.0,199.0,229.0,17.0,3.0,5.0,11.0,172.0,83.0,7105.7,11.2
E01000203,Barnet ,753,66.0,90.0,207.0,153.0,13.0,3.0,1.0,6.0,114.0,100.0,4977.8,9.2
E01000204,Barnet ,911,69.0,94.0,174.0,297.0,24.0,2.0,4.0,14.0,132.0,101.0,7746.7,11.4
E01000205,Barnet ,756,54.0,89.0,222.0,155.0,14.0,2.0,2.0,12.0,159.0,47.0,6373.4,11.6
E01000206,Barnet ,685,30.0,86.0,258.0,52.0,3.0,2.0,4.0,6.0,221.0,23.0,4647.6,10.5
